year,month,carrier,carrier_name,AIRPORT,airport_name,arr_flights,arr_del15,arr_cancelled,arr_diverted,arr_delay,def_avg_Delay,aircraft_delay(min/flight),nas_delay(min/flight),weather_delay(min/flight),carrier_delay(min/flight),security_delay(min/flight)
2004,1,TZ,ATA Airlines d/b/a ATA,MDW,"Chicago, IL: Chicago Midway International",2464.0,703.0,67.0,4.0,57111.0,19260.021712143796,0.0340577297341271,0.031855491782972804,0.04235880398671096,0.03471058142027249,0.01532440588457186
2004,1,TZ,ATA Airlines d/b/a ATA,SFO,"San Francisco, CA: San Francisco International",323.0,118.0,7.0,1.0,7681.0,1891.021712143793,0.2968973803221799,0.12366524079968258,0.5073509150146694,0.20981206196151958,0.14447884416924664
2004,1,WN,Southwest Airlines Co.,BNA,"Nashville, TN: Nashville International",2520.0,324.0,36.0,1.0,14343.0,5690.021712143793,0.01881442187432613,0.01294668185288986,0.02409297052154195,0.018639055494971527,0.00954390194896524
2004,1,WN,Southwest Airlines Co.,BOI,"Boise, ID: Boise Air Terminal",525.0,97.0,10.0,3.0,4024.0,460.02171214379314,0.08353730125564643,0.049937259405772136,0.14545454545454545,0.06840305182846618,0.2005012531328321
2004,1,WN,Southwest Airlines Co.,BUR,"Burbank, CA: Bob Hope",1504.0,221.0,17.0,7.0,8123.0,3451.021712143793,0.024717415356692213,0.026428825781180446,0.044831589160718006,0.02115466420236602,0.010804521276595746
2004,1,WN,Southwest Airlines Co.,BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",4729.0,605.0,109.0,18.0,28072.0,14434.021712143793,0.010399020368674353,0.007469760022020389,0.013794707934897628,0.010075381516919371,0.019990594021079097
2004,1,WN,Southwest Airlines Co.,CLE,"Cleveland, OH: Cleveland-Hopkins International",549.0,136.0,11.0,1.0,6386.0,1128.0217121437931,0.09954716294183272,0.05263419014035908,0.21696525327984134,0.08132722886821248,0.05666869054847197
2004,1,WN,Southwest Airlines Co.,GEG,"Spokane, WA: Spokane International",433.0,87.0,20.0,1.0,3286.0,336.02171214379314,0.08756384956397635,0.060204695966285374,0.15496565828871062,0.08123285018678833,0.050084866022983385
2004,1,WN,Southwest Airlines Co.,HOU,"Houston, TX: William P Hobby",4031.0,477.0,139.0,4.0,19494.0,11069.021712143793,0.010902879478096286,0.007225675364993186,0.015484493767491258,0.009743933360296789,0.006991272186012944
2004,1,WN,Southwest Airlines Co.,ISP,"Islip, NY: Long Island MacArthur",722.0,105.0,14.0,2.0,4694.0,498.02171214379314,0.06923587824593802,0.0505831782588267,0.09757165567200692,0.05859632018419769,0.023575175340366593
2004,1,WN,Southwest Airlines Co.,LAS,"Las Vegas, NV: McCarran International",5469.0,792.0,74.0,3.0,29481.0,15146.021712143793,0.007557911840950088,0.0053727336119546625,0.009634662319610314,0.006515394350128361,0.008436865077113246
2004,1,WN,Southwest Airlines Co.,LAX,"Los Angeles, CA: Los Angeles International",3290.0,459.0,90.0,3.0,18091.0,8331.021712143793,0.012738640282391507,0.009844038272230033,0.039846979638740614,0.010824546457035587,0.007151796888968354
2004,1,WN,Southwest Airlines Co.,LBB,"Lubbock, TX: Lubbock Preston Smith International",405.0,51.0,4.0,1.0,1903.0,-229.9782878562069,0.10075332596811504,0.05330053300533006,0.06172839506172839,0.08796296296296297,0.05486968449931413
2004,1,WN,Southwest Airlines Co.,MCI,"Kansas City, MO: Kansas City International",2009.0,326.0,46.0,3.0,13989.0,5780.021712143793,0.024120718686225506,0.014890370382459262,0.024688189498727624,0.022083298900123192,0.01088850174216028
2004,1,WN,Southwest Airlines Co.,MCO,"Orlando, FL: Orlando International",1956.0,287.0,11.0,1.0,13785.0,5746.021712143793,0.026389616077361705,0.018709158859831165,0.059026929689707526,0.024411442324778626,0.022650203204680176
2004,1,WN,Southwest Airlines Co.,MDW,"Chicago, IL: Chicago Midway International",3835.0,641.0,104.0,50.0,33651.0,11987.021712143793,0.013858584465509303,0.01123558302031405,0.02721385951518051,0.01113584003539342,0.02006468108163023
2004,1,WN,Southwest Airlines Co.,OAK,"Oakland, CA: Metropolitan Oakland International",3540.0,428.0,74.0,2.0,17597.0,9780.021712143793,0.012257119788308946,0.009005106779134622,0.02737413600383238,0.010630531490611977,0.008147166765650936
2004,1,WN,Southwest Airlines Co.,ONT,"Ontario, CA: Ontario International",1634.0,213.0,23.0,6.0,7963.0,3275.021712143793,0.02415925402673899,0.018822493534653036,0.05099959200326398,0.021750494949728222,0.013114180800839306
2004,1,WN,Southwest Airlines Co.,PDX,"Portland, OR: Portland International",1023.0,163.0,92.0,16.0,6271.0,2054.021712143793,0.040915455904871396,0.027618928735324427,0.03232733738194749,0.04737555886043397,0.023033449062370086
2004,1,WN,Southwest Airlines Co.,PHX,"Phoenix, AZ: Phoenix Sky Harbor International",5298.0,730.0,125.0,4.0,30445.0,16412.021712143793,0.008608658264280459,0.005802329320638116,0.017684728896506925,0.007569832138535271,0.007032970454296534
2004,1,WN,Southwest Airlines Co.,RNO,"Reno, NV: Reno/Tahoe International",1237.0,183.0,21.0,4.0,7716.0,3756.021712143793,0.0388539699286837,0.024131236973366547,0.02790930438464796,0.029293415566838947,0.014435847095507562
2004,1,WN,Southwest Airlines Co.,SAT,"San Antonio, TX: San Antonio International",1325.0,191.0,36.0,1.0,7054.0,2415.021712143793,0.03114753783476976,0.022763237979306145,0.036897274633123686,0.024990628514307132,0.014824797843665768
2004,1,WN,Southwest Airlines Co.,SEA,"Seattle, WA: Seattle/Tacoma International",1101.0,199.0,10.0,2.0,9176.0,2965.021712143793,0.04095243406804882,0.038592715331624367,0.087755093086215,0.04179385794185737,0.039305044324404716
2004,1,WN,Southwest Airlines Co.,SLC,"Salt Lake City, UT: Salt Lake City International",1142.0,256.0,11.0,1.0,9863.0,2591.021712143793,0.036782800605916204,0.024662098799412495,0.0649233627067266,0.03674954046113097,0.031071690864922886
