year,month,carrier,carrier_name,AIRPORT,airport_name,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay,def_avg_Delay
2004,2,B6,JetBlue Airways,JFK,"New York, NY: John F. Kennedy International",2520.0,300.0,64.85,2.73,93.92,7.31,131.19,4.0,2.0,11377.0,2175.0,363.0,3198.0,295.0,5346.0,3707.021712143793
2004,2,CO,Continental Air Lines Inc.,BOS,"Boston, MA: Logan International",501.0,84.0,23.63,2.22,41.81,0.32,16.02,6.0,1.0,3128.0,921.0,62.0,1337.0,8.0,800.0,-838.9782878562069
2004,2,CO,Continental Air Lines Inc.,CLE,"Cleveland, OH: Cleveland-Hopkins International",1275.0,155.0,27.87,0.87,96.45,1.8,28.01,8.0,2.0,5805.0,1600.0,47.0,2630.0,60.0,1468.0,-170.97828785620686
2004,2,CO,Continental Air Lines Inc.,EWR,"Newark, NJ: Newark Liberty International",4445.0,823.0,83.26,12.71,531.38,7.56,188.09,31.0,2.0,39533.0,4192.0,573.0,22907.0,235.0,11626.0,9987.021712143793
2004,2,CO,Continental Air Lines Inc.,IAH,"Houston, TX: George Bush Intercontinental/Houston",6644.0,1169.0,128.98,10.11,797.72,7.07,225.12,16.0,5.0,46008.0,8926.0,691.0,24831.0,227.0,11333.0,9694.021712143793
2004,2,DH,Atlantic Coast Airlines,IAD,"Washington, DC: Washington Dulles International",4052.0,383.0,35.45,0.72,70.4,0.01,276.41,106.0,2.0,19777.0,2245.0,42.0,2290.0,1.0,15199.0,13560.021712143793
2004,2,DH,Atlantic Coast Airlines,ORD,"Chicago, IL: Chicago O'Hare International",3926.0,1723.0,66.89,2.27,1126.22,1.09,526.54,158.0,3.0,93983.0,4389.0,68.0,56980.0,65.0,32481.0,30842.021712143793
2004,2,DH,Atlantic Coast Airlines,SYR,"Syracuse, NY: Syracuse Hancock International",203.0,70.0,26.37,2.86,16.79,0.97,23.01,3.0,1.0,4026.0,1364.0,177.0,748.0,36.0,1701.0,62.02171214379314
2004,2,DL,Delta Air Lines Inc.,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",16555.0,5778.0,621.72,80.51,4091.27,3.33,981.18,442.0,11.0,311949.0,46086.0,6213.0,199891.0,122.0,59637.0,57998.021712143796
2004,2,DL,Delta Air Lines Inc.,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",1681.0,368.0,88.7,5.36,204.98,1.0,67.96,30.0,10.0,16696.0,5908.0,306.0,6774.0,23.0,3685.0,2046.0217121437931
