AIRPORT,year,month,arr_flights,arr_del15,arr_cancelled,arr_diverted,arr_delay,def_avg_Delay,aircraft_delay(min/flight),nas_delay(min/flight),weather_delay(min/flight),carrier_delay(min/flight),security_delay(min/flight)
LAS,913281,2911,1559757.0,288513.0,15585.0,2202.0,14030184.0,6387023.857313324,23.53581662352337,15.740787907167496,29.377453334854927,21.30480028011706,15.693746966916512
LAW,4029,15,141.0,36.0,27.0,3.0,1536.0,-2662.9565757124137,1.2627138024111584,0.808451136039761,1.8173377006489941,1.167559471647957,0.4859013630943455
LAX,1412087,4507,1816881.0,363842.0,26472.0,2562.0,19106046.0,7156254.241925009,28.482196766314072,16.633132105014663,32.85934791635932,25.64657419927005,20.104617741663862
LBB,40181,109,4717.0,1025.0,82.0,27.0,53101.0,-3610.5657571241377,6.60589787929302,4.693396183221121,10.48805906529046,5.498483657715814,5.3127071850216625
LBE,4032,11,226.0,74.0,11.0,2.0,4975.0,-830.9565757124137,1.302312023222271,1.1458850044882405,1.2200998971485089,1.0416606730372706,1.4730885311871227
LCH,6032,8,326.0,66.0,14.0,3.0,3483.0,-3858.9348635686206,1.7704741939259736,1.5883581536658924,3.945109300693286,1.0971714502276682,0.6150493024628821
LEX,28167,81,2527.0,595.0,100.0,18.0,34115.0,-8622.696029986899,6.646023038883232,4.131943168205029,8.518999784524736,4.98872442437106,3.2138093289112297
LFT,36148,129,3872.0,837.0,111.0,27.0,43362.0,-14576.609181411728,5.552690179406973,3.7881093607812613,6.41655077874688,5.611518560646766,3.7858150666691457
LGA,780598,2421,476338.0,124952.0,20258.0,2498.0,7779371.0,1240635.4243117946,32.792369120951875,28.141402081638958,40.6697254478759,30.002838612060398,22.523736153163426
LGB,92500,240,36145.0,7014.0,377.0,217.0,410839.0,137975.99875861438,4.156379897481879,2.4634295740404406,6.148134650645766,3.9060312957237535,2.752508941794826
LIH,14126,47,5040.0,543.0,13.0,13.0,19642.0,-4121.848014993448,0.382969965143591,0.2814940871225799,0.3288667554208648,0.3325694649058653,0.29203235768162633
LIT,68323,171,10765.0,2757.0,223.0,66.0,149561.0,17807.73821288896,8.201948644029672,5.673438871726547,8.633881593613523,6.635284237428408,5.89303889860709
LNK,4029,7,254.0,57.0,4.0,2.0,4256.0,-2144.9565757124137,1.0874090187291503,0.7131469687337182,1.2313223031738625,1.6763002698350737,1.6639547094005387
LRD,2009,12,107.0,36.0,9.0,4.0,1792.0,-1338.9782878562069,0.4415335933475605,0.4119824822791097,1.427941117484257,0.3585319545060738,0.2562556526982212
LYH,2020,2,58.0,22.0,2.0,1.0,2152.0,198.0217121437932,1.902247074660868,0.7389162561576356,4.482758620689655,1.180540303096859,0.6045678459471563
MAF,44238,164,5223.0,1225.0,111.0,40.0,61574.0,-5544.522332836554,6.925436248634967,4.727279839591041,8.95403387427147,5.101927098442739,3.704831443654983
MBS,4023,21,306.0,67.0,7.0,3.0,5069.0,-2315.9565757124137,0.9426384190039652,0.48855466641636913,2.053781364876361,0.7181012914251956,0.861206652749076
MCI,412146,1323,275345.0,54139.0,2827.0,823.0,2692448.0,1084508.4509894778,17.95014382739955,10.405153863945225,22.177369816033664,16.10317065011659,13.036204794532791
MCO,935572,2931,839264.0,165434.0,11515.0,2118.0,9435418.0,3533824.096146899,25.518398344838644,15.32105170165759,33.573977105245206,21.654496008959452,17.29146757349679
MDW,452427,1482,1265748.0,215784.0,22104.0,5265.0,11106800.0,5186443.885232373,9.04555385374316,5.623633115717437,11.590196629536983,11.473181184685115,5.933728458937303
MEI,2019,4,90.0,26.0,8.0,1.0,3525.0,-1112.9782878562069,0.6501050549993821,0.4640203008881639,2.1049692908989392,3.037551440329218,0.1777777777777777
MEM,295222,922,253782.0,43503.0,4337.0,663.0,2354446.0,508934.1916851371,14.970220411153708,9.082827877284611,18.038586381044688,13.808722613251325,7.985562581282007
MFE,8025,27,495.0,173.0,8.0,4.0,9187.0,-2811.9131514248274,2.3003454276378403,1.4121807675629783,2.492998912872993,1.5285529510273634,0.9757395430487735
MFR,4027,21,793.0,167.0,39.0,2.0,9442.0,-958.9565757124137,0.5296064884727675,0.2129624735729386,0.4143421863988724,0.2688674762802668,0.3364230972515856
MGM,4025,6,163.0,32.0,2.0,3.0,1646.0,-2784.9565757124137,1.4687068344110306,1.020619428543385,0.8439521798930415,1.224481660690014,0.7011044176706827
MHT,78317,287,23622.0,4826.0,309.0,70.0,256190.0,79566.84677360792,5.587195511536964,3.796896222297283,7.291724091291083,4.670432869185198,3.209757354036341
MIA,527076,1714,733395.0,151613.0,11642.0,2141.0,9221419.0,3009028.6885816925,14.640634201757742,8.49499392019356,17.473442978164798,13.648370093246069,11.147120912056547
MKE,170975,448,59345.0,12943.0,1162.0,228.0,735514.0,220295.8455322223,11.21268236896219,6.640074989931708,14.019623072031663,10.187246028142557,7.6813472720481775
MLI,2008,7,93.0,14.0,2.0,1.0,521.0,-1527.9782878562069,0.285537891649946,0.4803130929791271,0.6516780710329096,0.3898255530650034,0.1835824809861002
